"ASX code","Company name","GICs industry group","Listing date","Market Cap"
"ASX","ASX LIMITED","Financial Services","14/10/1998",12090017867
"AT1","ATOMO DIAGNOSTICS LIMITED","Health Care Equipment & Services","16/04/2020",16964330
"ATA","ATTURRA LIMITED","Software & Services","22/12/2021",220898694
"ATC","ALTECH BATTERIES LTD","Materials","27/01/2010",107282480
"ATH","ALTERITY THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","28/03/2000",17079283
"ATM","ANEKA TAMBANG (PERSERO) TBK (PT)","Materials","09/08/1999","SUSPENDED"
"ATP","ATLAS PEARLS LTD","Consumer Durables & Apparel","31/12/1993",17114870
"ATR","ASTRON CORPORATION LIMITED","Materials","11/11/1983",63745743
"ATS","AUSTRALIS OIL & GAS LIMITED","Energy","25/07/2016",34052299
"ATU","ATRUM COAL LIMITED","Materials","24/07/2012","SUSPENDED"
"ATV","ACTIVEPORT GROUP LTD","Software & Services","20/10/2021",32058709
"ATX","AMPLIA THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","23/12/2013",16878503
"AU1","THE AGENCY GROUP AUSTRALIA LTD","Real Estate Management & Development","18/12/2007",13285874
"AUA","AUDEARA LIMITED","Consumer Durables & Apparel","18/05/2021",6161900
"AUB","AUB GROUP LIMITED","Insurance","16/11/2005",3025600854
"AUC","AUSGOLD LIMITED","Materials","16/12/2009",96437931
"AUE","AURUM RESOURCES LIMITED","Materials","02/11/2021",3300000
"AUG","AUGUSTUS MINERALS LIMITED","Materials","25/05/2023",29947500
"AUH","AUSTCHINA HOLDINGS LIMITED","Energy","17/03/2003",10389418
"AUI","AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED","Not Applic","01/01/1974",1258207089
"AUK","AUMAKE LIMITED.","Consumer Discretionary Distribution & Retail","07/12/2011",5949038
"AUN","AURUMIN LIMITED","Materials","09/12/2020",7671030
"AUQ","ALARA RESOURCES LIMITED","Materials","24/05/2007",25851151
"AUR","AURIS MINERALS LIMITED","Materials","15/03/2001",6672763
"AUT","AUTECO MINERALS LTD","Materials","21/09/2005",77480016
"AUZ","AUSTRALIAN MINES LIMITED","Materials","28/09/2001",15037915
"AV1","ADVERITAS LIMITED","Software & Services","18/12/2012",29128621
"AVA","AVA RISK GROUP LIMITED","Technology Hardware & Equipment","11/05/2015",52360000
"AVC","AUCTUS INVESTMENT GROUP LIMITED","Financial Services","10/08/2011",58914758
"AVD","AVADA GROUP LIMITED","Commercial & Professional Services","17/12/2021",62278104
"AVE","AVECHO BIOTECHNOLOGY LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","09/08/1993",12972982
"AVG","AUSTRALIAN VINTAGE LTD","Food, Beverage & Tobacco","26/03/1992",107371357
"AVH","AVITA MEDICAL INC.","Pharmaceuticals, Biotechnology & Life Sciences","24/06/2020",748159881
"AVJ","AVJENNINGS LIMITED","Consumer Durables & Apparel","27/01/1994",170584452
"AVL","AUSTRALIAN VANADIUM LIMITED","Materials","21/02/2007",144073379
"AVM","ADVANCE METALS LIMITED","Materials","20/12/2007",4119911
"AVR","ANTERIS TECHNOLOGIES LTD","Health Care Equipment & Services","24/03/2004",335217229
"AVW","AVIRA RESOURCES LTD","Materials","09/01/2013",4267580
"AVZ","AVZ MINERALS LIMITED","Materials","14/09/2007","SUSPENDED"
"AW1","AMERICAN WEST METALS LIMITED","Materials","13/12/2021",80714675
"AWC","ALUMINA LIMITED","Materials","31/10/1961",4192929648
"AWJ","AURIC MINING LIMITED","Materials","12/02/2021",6019541
"AX1","ACCENT GROUP LIMITED","Consumer Discretionary Distribution & Retail","07/07/2004",977854126
"AX8","ACCELERATE RESOURCES LIMITED","Materials","14/02/2018",7971637
"AXE","ARCHER MATERIALS LIMITED","Semiconductors & Semiconductor Equipment","14/08/2007",141440092
"AXI","AXIOM PROPERTIES LIMITED","Real Estate Management & Development","31/01/1997",16875833
"AXN","ALLIANCE NICKEL LIMITED","Materials","21/08/1980",67745097
"AXP","AXP ENERGY LIMITED","Energy","20/07/2006",11649361
"AYA","ARTRYA LIMITED","Health Care Equipment & Services","26/11/2021",21205528
"AYI","A1 INVESTMENTS & RESOURCES LTD","Financial Services","02/10/2007","SUSPENDED"
"AYM","AUSTRALIA UNITED MINING LIMITED","Materials","19/09/2011",7370310
"AYT","AUSTIN METALS LIMITED","Materials","06/07/2011",9142872
"AZI","ALTAMIN LIMITED","Materials","24/12/2009",30945623
"AZJ","AURIZON HOLDINGS LIMITED","Transportation","22/11/2010",7013082171
"AZL","ARIZONA LITHIUM LIMITED","Materials","08/07/1971",77363631
"AZS","AZURE MINERALS LIMITED","Materials","16/12/2003",799983948
"AZY","ANTIPA MINERALS LIMITED","Materials","20/04/2011",57552824
"B4P","BEFOREPAY GROUP LIMITED","Financial Services","17/01/2022",23321191
"BAP","BAPCOR LIMITED","Consumer Discretionary Distribution & Retail","24/04/2014",2117934000
"BAS","BASS OIL LIMITED","Energy","30/09/2004",26839444
"BAT","BATTERY MINERALS LIMITED","Materials","29/10/2012",14950562
"BBC","BNK BANKING CORPORATION LIMITED","Banks","22/05/2012",51049344
"BBL","BRISBANE BRONCOS LIMITED","Media & Entertainment","12/05/1989",91667991
"BBN","BABY BUNTING GROUP LIMITED","Consumer Discretionary Distribution & Retail","14/10/2015",272511108
"BBT","BLUEBET HOLDINGS LTD","Consumer Services","02/07/2021",48062702
